Reference, Value, Footprint, Datasheet,Part No,,,
0.5W202,2R2,RESISTOR_R0805,,ERJP06J2R2V,,,
10R202,0.5W,RESISTOR_R0805,,CRGS0805J10R,,,
C2,.0047uF,CAPACITOR-WIMA_C5B4.5,,,,,
C3,100pF,CAPACITOR-WIMA_C2.5-3,,,,,
C4,15uF,RESISTOR_E2_5-6E,,,,,
C5,220pf,CAPACITOR-WIMA_C2.5-3,,,,,
C6,100uF,RESISTOR_E2_5-6E,,,,,
C7,100uF,RESISTOR_E2_5-6E,,,,,
CONTROL202,ALPHA-9MMA,TOMW_EVUF,,,,,
CONTROL_IN202,PJ-301B,TOMW_PJ-301B,,,,,
D1,1N4148DO35-7,DIODE_DO35-7,,,,,
D2,1N4148DO35-7,DIODE_DO35-7,,,,,
FINE202,ALPHA-9MMA,TOMW_EVUF,,,,,
FM_IN202,PJ-301B,TOMW_PJ-301B,,,,,
FM_POT202,ALPHA-9MMA,TOMW_EVUF,,,,,
FREQUENCY202,ALPHA-9MMA,TOMW_EVUF,,,,,
FREQ_TRIM202,100K,RCL_RTRIM64W,,,,,
IC2,TL071D,LINEAR_SO08,,9589449,,,
IC3,CA3140N,SMD_Packages:SOIC-8-N,,CA3140MZ96,,,
IC7,CA3080E,OTA_DIL08,,,,,
INITIAL_FREQUENCY202,ALPHA-9MMA,TOMW_EVUF,,,,,
J201,MPF102,BT_TRANSISTOR_TO92F,,,,,
MAIN_OUT202,PJ-301B,TOMW_PJ-301B,,,,,
Q1,BC847BS,TRANSISTOR-SMALL-SIGNAL_SOT363_PHILIPS,,1081234RL,,,
Q2,2N3906,TRANSISTOR-PNP_TO92,,,,,
Q3,MPF102,BT_TRANSISTOR_TO92F,,,,,
R1,15K,RESISTOR_R0805,,,,,
R2,6K81,RESISTOR_R0805,,,,,
R3,15K,RESISTOR_R0805,,,,,
R4,2K49,RESISTOR_R0805,,,,,
R5,4K99,RESISTOR_R0805,,,,,
R6,3K3,RESISTOR_R0805,,,,,
R7,33K,RESISTOR_R0805,,,,,
R8,68K,RESISTOR_R0805,,,,,
R9,15K,RESISTOR_R0805,,,,,
R10,10K,RESISTOR_R0805,,,,,
R11,390K,RESISTOR_R0805,,,,,
R12,10K,RESISTOR_R0805,,,,,
R13,1M5,RESISTOR_R0805,,,,,
R14,10k,RESISTOR_R0805,,,,,
R15,390R,RESISTOR_R0805,,,,,
R16,100K,RESISTOR_R0805,,,,,
R17,100K,RESISTOR_R0805,,,,,
R18,100K,RESISTOR_R0805,,,,,
R19,10K,RESISTOR_R0805,,,,,
R20,1K8,RESISTOR_R0805,,,,,
R21,100K,RESISTOR_R0805,,,,,
R22,180K,RESISTOR_R0805,,,,,
R23,100k,RESISTOR_R0805,,,,,
R24,68k,RESISTOR_R0805,,,,,
R25,680R,RESISTOR_R0805,,,,,
R26,330k,RESISTOR_R0805,,,,,
R27,680k,RESISTOR_R0805,,,,,
R28,150k,RESISTOR_R0805,,,,,
R29,680k,RESISTOR_R0805,,,,,
R30,820k,RESISTOR_R0805,,,,,
R31,680R,RESISTOR_R0805,,,,,
R32,15k,RESISTOR_R0805,,,,,
R33,6k8,RESISTOR_R0805,,,,,
R34,6k8,RESISTOR_R0805,,,,,
R35,3k3,RESISTOR_R0805,,,,,
R36,680R,RESISTOR_R0805,,,,,
R37,680R,RESISTOR_R0805,,,,,
R38,330K,RESISTOR_R0805,,,,,
R39,330K,RESISTOR_R0805,,,,,
SIN/SQ1,0,RESISTOR_R0805,,,,150K,None
SIN/SQ2,0,RESISTOR_R0805,,,,None,330K
SIN/SQ3,0,RESISTOR_R0805,,,,None,680K
SIN/SQ4,0,RESISTOR_R0805,,,,820K,None
SIN/SQ5,0,RESISTOR_R0805,,,,470R,2k2
SINE_TRIM202,20k,RCL_RTRIM64W,,,,,
SV1,~,TOMW_MA05-2,,,,,
T1,BC857BS,NXP_60_SOT363,,1081247,,,
TEMPCO202,2K,RESISTOR_R0805,,LT7330002K0JTG,,,
V/OCT202,PJ-301B,TOMW_PJ-301B,,,,,
V/OCT_TRIM202,100R,RCL_RTRIM64W,,,,,
WAVESHAPE202,ALPHA-9MMA,TOMW_EVUF,,,,,
WAVESHAPE_CTRL202,PJ-301B,TOMW_PJ-301B,,,,,
WAVESHAPE_TRIM202,1M,RCL_RTRIM64W,,,,,
IC4,LINEAR_TL072D,LINEAR_SO08,,1467663,,,
IC1,LINEAR_TL072D,LINEAR_SO08,,1467663,,,
