"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2,J1";"SOT-23_Handsoldering";2;"J201";;;
2;"Q3,Q6";"SOT-23_Handsoldering";2;"J113";;;
3;"Q1,Q4";"SOT-23_Handsoldering";2;"2N3906";;;
4;"C6,C10";"CAPACITOR-WIMA_C2.5-3";2;"220pf";;;
5;"C7,C3";"CAPACITOR-WIMA_C5B4.5";2;".0047uF";;;
6;"SV1";"TOMW_MA05-2";1;"~";;;
7;"C4,C8";"RESISTOR_E2_5-6E";2;"15uF";;;
8;"C5,C9";"CAPACITOR-WIMA_C2.5-3";2;"100pF";;;
9;"D1,D2,D3,D4";"DIODE_DO35-7";4;"1N4148DO35-7";;;
10;"R1,R43";"RESISTOR_R0805";2;"390K";;;
11;"R2,R44";"RESISTOR_R0805";2;"3K3";;;
12;"R3,R7,R20,R24,R45,R49,R62,R66";"RESISTOR_R0805";8;"10K";;;
13;"R4,R46";"RESISTOR_R0805";2;"3k3";;;
14;"R5,R11,R47,R53";"RESISTOR_R0805";4;"6k8";;;
15;"R6,R48";"RESISTOR_R0805";2;"6K81";;;
16;"R8,R50";"RESISTOR_R0805";2;"33K";;;
17;"R9,R51";"RESISTOR_R0805";2;"68K";;;
18;"R10,R52";"RESISTOR_R0805";2;"1M5";;;
19;"R12,R54";"RESISTOR_R0805";2;"2K49";;;
20;"R13,R55";"RESISTOR_R0805";2;"4K99";;;
21;"R14,R18,R19,R56,R60,R61";"RESISTOR_R0805";6;"15K";;;
22;"R15,R57";"RESISTOR_R0805";2;"20K";;;
23;"R16,R27,SQ2,R58,R69";"RESISTOR_R0805";5;"330K";;;
24;"R17,R22,R26,R32,R59,R64,R68,R74";"RESISTOR_R0805";8;"680R";;;
25;"R21,R25,R30,R63,R67,R72";"RESISTOR_R0805";6;"100K";;;
26;"R23,R65";"RESISTOR_R0805";2;"330R";;;
27;"R28,R70";"RESISTOR_R0805";2;"15k";;;
28;"R29,R71";"RESISTOR_R0805";2;"68k";;;
29;"R31,R73";"RESISTOR_R0805";2;"1K8";;;
30;"R33,R75";"RESISTOR_R0805";2;"10k";;;
31;"R34,R76";"RESISTOR_R0805";2;"390R";;;
32;"R35,R77";"RESISTOR_R0805";2;"4M7";;;
33;"R36,R78";"RESISTOR_R0805";2;"100k";;;
34;"R37,R79";"RESISTOR_R0805";2;"180K";;;
35;"R38,R40,R80,R82";"RESISTOR_R0805";4;"680k";;;
36;"R39,R81";"RESISTOR_R0805";2;"150k";;;
37;"T1,T2";"NXP_60_SOT363";2;"BC857BS";;;
38;"R41,R83";"RESISTOR_R0805";2;"820k";;;
39;"R42,R84";"RESISTOR_R0805";2;"330k";;;
40;"SAW1";"RESISTOR_R0805";1;"470R";;;
41;"SAW_WAVESHAPE1,OSC2_FM_IN1,OSC_1_CONTROL_IN1,OSC_2CONTROL_IN1,OSC_2_V/OCT1,SAW_OUT1,SQ_OUT1,SQ_WAVESHAPE1,OSC1_FM_IN1,OSC_1_V/OCT1";"TOMW_PJ-301B";10;"PJ-301B";;;
42;"SAW_WAVESHAPE_Pot1,OSC2_FM_POT1,OSC_2_FINE1,OS_2_FREQUENCY1,SQ_WAVESHAPE_Pot1,CONTROL1,OSC1_CONTROL1,OSC1_FINE1,OSC1_FM_POT1,OSC1_FREQUENCY1";"TOMW_EVUF";10;"ALPHA-9MMA";;;
43;"C1,C2";"RESISTOR_E2_5-6E";2;"100uF";;;
44;"IC1,IC2";"SOIC-8-N";2;"CA3140N";;;
45;"OSC2_SINE_TRIM1,OSC1_SINE_TRIM1";"RCL_RTRIM64W";2;"20k";;;
46;"OSC_2_FREQ_TRIM1,OSC1_FREQ_TRIM1";"RCL_RTRIM64W";2;"100K";;;
47;"OSC_2_V/OCT_TRIM1,OSC1_V/OCT_TRIM1";"RCL_RTRIM64W";2;"100R";;;
48;"SQ3";"RESISTOR_R0805";1;"680K";;;
49;"SQ_WAVESHAPE_TRIM1,SAW_WAVESHAPE_TRIM1";"RCL_RTRIM64W";2;"1M";;;
50;"TEMPCO1,TEMPCO2";"RESISTOR_R0805";2;"2K";;;
51;"0.5W1";"RESISTOR_R0805";1;"2R2";;;
52;"10R1";"RESISTOR_R0805";1;"0.5W";;;
53;"SAW2";"RESISTOR_R0805";1;"150K";;;
54;"SAW3";"RESISTOR_R0805";1;"820K";;;
55;"SQ1";"RESISTOR_R0805";1;"2K2";;;
56;"U2";"SO-16-N";1;"LM13700";;;
57;"Q2,Q5";"TRANSISTOR-SMALL-SIGNAL_SOT363_PHILIPS";2;"BC847BS";;;
58;"U1,U4";"SOIC-8-N";2;"TL072";;;
59;"U3,U6";"SOIC-14_N";2;"TL074";;;
